video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7149546704931491078,2022-10-01T10:12:47,10,PL,,6900000,87400,11900,47000000,#popular #on #fyp ,False,,_nasta.sia7,_nasta.sia7,,,,,,False
7159995402106850565,2022-10-29T13:59:03,13,GB,"Staircase Makeover, Renovation, Stair Renovation, stair runner, Renovation Project, home renovations, Home Renovation Videos, Remodeling The Home, Home Makeover, Home Transformation",4800000,39500,4990,77900000,so worth it 🥺 #fyp #renovationseries #staircasemakeover #renotok #fixerupper #staircaserenovation #stairrunner #renovatingourhome ,False,,amberormondroydhome,amberormondroydhome,,,,,,False
7141596989979921665,2022-09-10T00:03:54,18,AU,,2800000,17600,17000,20600000,yong22 @user578104 ,False,,nathaniel_lowe,Nathaniel_tom,,,,,,False
7267957906400726314,2023-08-16T12:28:49,20,US,"kalender 3 dimensi, artistic calendar pad, ripping calendar, calendar, satisfying calendar, Desk Calendar, Calendar Decorating, satisfying, artistic calendar, satisfying videos",2700000,96700,3945,33300000,Replying to @thindragpersson82 Most satisfying calendar🍄 Get yours now😍Link in profile🔗 www.artropad.com #3dmemopad #satisfying #giftideas #deskdecoration #calendar #3dcalendar #mushroom ,False,,artropad,Artropad,,,,,,False
7166922063486192902,2022-11-17T04:58:04,15,DE,,2600000,3216,5992,15000000,He knew it would #tiktok #fyp #foryou #trending ,False,,linus_gahn,Linus Gahn,,,,,,False
7149741301494189317,2022-10-01T22:47:59,5,MX,,2400000,83800,38400,20000000,Contxto en inst a banda ya saben #tiktoksbuchones ,False,,gashiolasrt,Gashiola,,,,,,False
7189774279284624645,2023-01-17T18:56:21,58,GB,"legs snapped backwards on leg press, 400kg in lbs, guys legs snapped on leg press video, gym, how much is 400kg in lbs, guys legs snapped on leg press, leg press, larry wheels leg press, gym motivation, leg snapped leg press",2400000,51300,8667,14300000,400kg btw. #fyp #gymtok #legday #legpress #motivation #gymrats #bodybuilding ,False,,kodydoesfitness,Kody,,,,,,False
7162326759248121089,2022-11-04T20:46:38,12,AU,,2000000,9025,1605,14200000,Works everytime ##motorbike##fyp##bikelife,False,,inari.films,Inari,,,,,,False
7139237423581580550,2022-09-03T15:27:30,15,ES,,1900000,26200,15000,10700000,the fits >>> #fyp #fy #dance #viral #sisters,False,,krisandreamg,Andrea & Kristina,,,,,,False
7142139146285370630,2022-09-11T11:07:41,14,GB,,1600000,13600,5900,12000000,Day 36 of ‘making’ the little sister do TikTok dances with me😅@amyarcher02 Hope everyone has a great Sunday🫶🏻#fyp #dance #siblings #duo #viral #trending,False,,aaronarcher20,Aaron Archer,,,,,,False
