video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7271063271258524971,2023-08-24T21:19:14,36,US,"drop it to the floor song by pitbull, challenges on tiktok",1800000,78100,12100,26300000,DANG SHE FINE🗣🔥 NEW CHALLENGE DC: US  #fyp #foryou #viral ,False,,slim199x,Slim 199x,,,,,,False
7311629066707143941,2023-12-12T03:55:05,22,PH,"Cookies, wopwopwop challenge, woop woop, cookies recipes, how to make cookies, Christmas Cookies, chocolate chips cookies, bakedish, peanut butter cookies, Oatmeal Cookies",17000000,651900,128000,112800000,Cookie Wop Wop 🤣 #fyp #fypシ #foryou #wopchallenge #cookies #dance #foodie #baked_ish ,False,,bakedish,BakedIsh,,,,,,False
7316083339788569857,2023-12-24T03:59:59,20,KR,"mingyu, Seventeen, Kim Mingyu, jennie, wopchallenge, Mingyu And Jungkook, yeonjun woop woop dance, minghao seventeen, whoop challenge yeonjun, Joshua Seventeen",9000000,160000,106100,80200000,#wopchallenge 😎,False,,seventeen17_official,SEVENTEEN,,,,,,True
7284680559228374304,2023-09-30T14:01:09,19,BE,"Stick Bug, stick bugs dancing, snapping a stick bug, why do you stick bugs dance, leaf bug, stick bug bite, slim 199x dance, walking stick, Stick Bugs Explained, Why Do Stick Bugs Wiggle",8000000,501700,37200,64800000,Not my dad who was watching us and asking me this is what people want to see?😭 *I only learned this dance online so don’t hate on me please haha* #stickbug #dance #trending #funny #pet #dancing ,False,,cheyenny,Cheyenne Ingels,,,,,,False
7315341642959965445,2023-12-22T04:01:46,20,KR,"changbin, han jisung, Han, felix, han stray kids, straykids, Minsung, yeonjun woop woop dance, changbin stray kids, lalala stray kids",6000000,64800,72200,47800000,wop 🐷🐰 wop 🐿 wop #StrayKids #스트레이키즈 ,False,,jypestraykids,Stray Kids,,,,,,True
7307941889527778567,2023-12-02T05:26:58,18,KR,"itzy, Lia Itzy, jennie, Ryujin Itzy, Chaeryeong ITZY, what happened to lia itzy, lia itzy hiatus, wopchallenge, ITZY Members, itzyofficial",5700000,39400,50700,47700000,NOW LEEEAAAAAAAAN #ITZY #있지 #MIDZY #wopchallenge #wop ,False,,itzyofficial,ITZY,,,,,,True
7308430597045701921,2023-12-03T13:03:25,28,UG,"slim 199x dance, uganda dancing kids, wopwopwop challenge, fuji woop woop dance, wops dance challenge, woop woop, wopchallenge, untouchable dance, woop woop dance jennie",5000000,44100,30500,70700000,The last part😂😍 #uganda #kids #viral #dancechallenge #wop #isabellafro #foryou ,False,,isabell.afro,Isabell,,,,,,False
7312689687997566215,2023-12-15T00:30:51,23,KR,"NCT Dream, nct official, Jaemin, mark lee, yeonjun woop woop dance, NCT 127, Renjun - NCT, Woo Wop, NCT Members, markcuban",4400000,68800,51500,37900000,wiggle wiggle wiggle wiggle〰️ #MARK #RENJUN #JAEMIN  #wopchallenge #wop #NCTDREAM #NCT #Jingle_Ball_Tour #ATLANTA,False,,official_nct,NCT Official,,,,,,True
7297654729021164801,2023-11-04T13:07:33,19,KR,"decelis academy tuition, Song Kang, decelis academy tuition fee, decelis academy school, decelis academy uniform philippines, decelis academy enhypen, academy boots",4200000,14700,9963,34700000,,False,,haesung1109,해성,,,,,,False
7285805509569989931,2023-10-03T14:46:41,36,US,"miley cyrus wopwopwop dance, wopwopwop challenge, water, wopp wopp wopp dance original, wopwopwop guy in saggy pants, slim 199x dance, wopwopwop saggy pants, tyla water, night dancer, water challenges",4200000,421100,31800,42200000,I know how to strike a pose! #fyp #foryou #trend #dance #viral #trendingsong #trendingdance #wop #dropittothefloor #dancetok #dancerfirst #strongmover #strikeapose #bigboy #fitfatfun #fat #love #sizeinclusive #bodypositivity #plussize #lovekt #dancing #party #funny #comedy #humor #dancechallenge #bigmover #plussizedancer ,False,,phatboylandy,Landen Alft,,,,,,False
